donemKey,kovanNo,donemSira,eskiKovanNo,hamBaslik,hamKod,kaynakTipi,kaynakKoloni,anaYili,baslangicTarihi,bitisTarihi,durum,aktifMi,muayeneSayisi,maksCita,maksBalCitasi,koloniKategorisi,notMetni,incelemeNotu
K01_D1,1,1,,1,26B2025,Bölme,26,2025,2025-04-22,2025-09-07,kapandi,0,21,7,0,,,
K02_D1,2,1,,2,19B2025,Bölme,19,2025,2025-04-22,,aktif,1,32,7,0,,,
K03_D1,3,1,,3,F2024,Ana hat,,2024,2025-04-22,2026-01-13,kapandi,0,34,28,12,,,
K04_D1,4,1,,4,22B2025,Bölme,22,2025,2025-04-22,,aktif,1,31,6,0,,,
K05_D1,5,1,,5,13B2025,Bölme,13,2025,2025-04-22,2025-05-27,kapandi,0,33,8,0,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et.
K05_D2,5,2,,5,F2024,Ana hat,,2024,2025-06-08,,aktif,1,25,8,0,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et.
K06_D1,6,1,,6,26B2025,Bölme,26,2025,2025-04-22,2025-10-13,kapandi,0,28,25,9,,,
K07_D1,7,1,,7,13B2025,Bölme,13,2025,2025-04-22,2025-05-10,kapandi,0,35,9,0,,,
K09_D1,9,1,,9,31B2025,Bölme,31,2025,2025-04-22,,aktif,1,31,9,4,,,
K10_D1,10,1,,10,13B2025,Bölme,13,2025,2025-04-22,2025-09-07,kapandi,0,26,19,3,,,
K11_D1,11,1,,11,15O2025,Oğul,15,2025,2025-05-01,,aktif,1,34,16,7,,,
K12_D1,12,1,,12,15B2025,Bölme,15,2025,2025-04-22,,aktif,1,37,24,8,,,
K13_D1,13,1,,13,13 - F2024,Ana hat,13,2024,2025-04-22,,aktif,1,36,16,5,,,
K14_D1,14,1,,14,22B2025,Bölme,22,2025,2025-04-22,,aktif,1,31,8,2,,,
K15_D1,15,1,,15,F2024,Ana hat,,2024,2025-04-22,,aktif,1,36,12,2,,,
K19_D1,19,1,,19,F2024,Ana hat,,2024,2025-04-22,,aktif,1,35,14,0,,,
K22_D1,22,1,,22,F2024,Ana hat,,2024,2025-04-22,,aktif,1,34,8,1,,,
K23_D1,23,1,,23,XO2025,Oğul,,2025,2025-04-22,2025-06-26,kapandi,0,13,5,0,,,
K25_D1,25,1,20,25 (Eski 20),20B2025,Bölme,20,2025,2025-04-22,,aktif,1,34,8,0,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et. Başlıkta eski kovan no: 20.
K25_D2,25,2,,25,F2024,Ana hat,,2024,2025-04-22,2025-11-13,kapandi,0,25,19,6,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et.
K26_D1,26,1,,26,F2024,Ana hat,,2024,2025-04-22,2025-11-13,kapandi,0,35,18,7,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et.
K26_D2,26,2,29,26 (Eski 29),XO2025,Oğul,,2025,2025-05-09,,aktif,1,30,4,0,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et. Başlıkta eski kovan no: 29.
K30_D1,30,1,,30,25B2025,Bölme,25,2025,2025-04-22,2026-01-13,kapandi,0,36,22,11,,,
K31_D1,31,1,,31,F2024,Ana hat,,2024,2025-04-22,,aktif,1,37,19,10,,,
K39_D1,39,1,8,39 (Eski 8),19B2025,Bölme,19,2025,2025-04-22,,aktif,1,32,20,7,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et. Başlıkta eski kovan no: 8.
K39_D2,39,2,,39,3B2025,Bölme,3,2025,2025-06-08,2026-01-20,kapandi,0,20,0,0,,,Aynı kovan numarası için birden fazla dönem/blok var; kontrol et.
K40_D1,40,1,,40,15O2025,Oğul,15,2025,2025-05-03,,aktif,1,34,10,4,,,
