sistemKimlik,arilikAd,kovanNo,anaYili,kaynakTipi,kaynakKoloni,kaynakKoloniId,kaynakKoloniIdResolved,ebeveynKoloniId,kokKoloniId,kaynakKovanNoSnapshot,ilkKovanNo,kovanNoGecmisi,genetik,rol,durum,olusturmaTarihi,sonCita,maxCitaKapasiye,bal_cita,skor,sahaSirasi,notMetni,kovanNoGosterim,eskiKovanNo,genetikOrijinal,kaynakKoloniNottan,kaynakVeriTemeli,correction_note
KOL-001,ULUKÖY ARILIK,7,2025,Bölme,13,,KOL-017,KOL-017,KOL-017,13,7,7,13B2025,Üretim,sondu,2025-04-22,0,4,0,0,0,,7,,13B2025,13,header,
KOL-002,ULUKÖY ARILIK,15,2024,Ana Hat,-,,,,KOL-002,,15,15,F2024,Ana Hat,aktif,2025-04-22,8,9,0,0,1,,15,,F2024,,header,
KOL-003,ULUKÖY ARILIK,19,2024,Ana Hat,-,,,,KOL-003,,19,19,F2024,Ana Hat,aktif,2025-04-22,9,12,2,0,2,,19,,F2024,,header,
KOL-004,ULUKÖY ARILIK,25,2025,Bölme,20,,,,KOL-004,20,20,20 -> 25,20B2025,Üretim,aktif,2025-04-22,8,14,0,0,3,,25 (Eski 20),20,20B2025,,header,
KOL-005,ULUKÖY ARILIK,1,2025,Bölme,26,,KOL-014,KOL-014,KOL-014,26,1,1,26B2025,Üretim,sondu,2025-04-22,0,8,0,0,4,,1,,26B2025,26,header,
KOL-006,ULUKÖY ARILIK,6,2025,Bölme,26,,KOL-014,KOL-014,KOL-014,26,6,6,26B2025,Üretim,sondu,2025-04-22,0,7,0,0,5,,6,,26B2025,26,header,
KOL-007,ULUKÖY ARILIK,3,2024,Ana Hat,-,,,,KOL-007,,3,3,F2024,Ana Hat,sondu,2025-04-22,0,25,9,0,6,,3,,F2024,,header,
KOL-008,ULUKÖY ARILIK,22,2024,Ana Hat,-,,,,KOL-008,,22,22,F2024,Ana Hat,aktif,2025-04-22,9,28,12,0,7,,22,,F2024,,header,
KOL-009,ULUKÖY ARILIK,9,2025,Bölme,31,,KOL-020,KOL-020,KOL-020,31,9,9,31B2025,Üretim,aktif,2025-04-23,7,8,1,0,8,,9,,31B2025,31,header,
KOL-010,ULUKÖY ARILIK,14,2025,Bölme,22,,KOL-008,KOL-008,KOL-008,22,14,14,22B2025,Üretim,aktif,2025-04-22,6,9,1,0,9,,14,,22B2025,22,header,
