koloniSistemKimlik,kovanNoSnapshot,tarih,citaSayisi,bal_cita,yavruluCita,yavruDuzeni,mizac,beslemeTipi,beslemeYapildi,varroaMucadele,anaAriGoruldu,varroaGoruldu,ogulBelirtisi,ogulAtti,bolmeYapildi,kovanSondu,anaUretimGirisimVarMi,anasizBirakildiMi,anasizBaslangicTarihi,larvaYasiGun,memeDurumu,erkekAriDurumu,ciftlesmeDurumu,anaDegisimPlanlandiMi,notlar,sezon,kaynakKoloniNoNottan,kaynakKoloniSistemKimlikNottan,tureyenKoloniNoListesiNottan,tureyenKoloniSistemKimlikleri,olayTipiOneri,ayristirmaGuveni,ayristirmaNotu
KOL-001,7,2025-04-22,4,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,13'den bölündü - şurup verildi.,uretim,13,KOL-017,,,child_created_from_split,yüksek,
KOL-001,7,2025-04-23,4,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Güçlü - Besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-001,7,2025-04-25,4,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,kapalı,,,0,Kapalı göz kırıldı. Ana gözleri tam olarak gözlemlenemedi. Açıklar var. Beslendi. Varroa Vetorax.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-001,7,2025-04-28,4,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,İşlem yapılmadı. Ortaya kova ile şerbet konuldu.,uretim,,,,,,yüksek,
KOL-001,7,2025-05-07,2,,,,,,0,,,,1,0,0,1,1,0,,,yok,,,0,Bitmiş. Ana gözü yok. 2 Petek alındı. Diğer kovanlara aktarıldı. 1-6,uretim,,,,,,yüksek,
KOL-001,7,2025-05-10,0,,,,,,0,,,,,0,0,0,0,0,,,,,,0,BİTTİ BOŞ,uretim,,,,,,yüksek,
KOL-002,15,2025-04-22,9,,,,,1/1 şurup,1,,,,,0,1,0,0,0,,,,,,0,Bölündü (12) - 1 petek ve şurup verildi.,uretim,,,12,KOL-016,parent_split,yüksek,
KOL-002,15,2025-04-23,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,1 Temel Petek verildi. Güçlü. Besleme yapıldı,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-04-25,7,,,,,1/1 şurup,1,vetorax,,,,0,0,0,0,0,,,,,,0,Güçlü. 3 Yeni petek var kabartılıyor. Çift besleme yapıldı. Yeni petek verilmedi. Varroa Vetorax.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-04-28,7,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Filizkıran rüzgarı sebebi ile yalnızca hızlıca besleme yapıldı.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-05-05,5,,,,,1/1 şurup,1,,,,1,1,0,0,1,0,,,,,,0,Oğul atmış büyük ihtimalle. 11-16 no'lu kovandaki oğullar tahmin ediliyor. 2 çıta alındı. Ana memesi yapmış beslendi. 20 mayısa kadar besleme yapmayalım.,uretim,,,11-16,KOL-021,parent_swarmed,orta,"Türeyen koloni çözümlenemedi: 16 | Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-05-07,5,,,,,,0,timol,,,1,0,0,0,1,0,,,,,,0,Her petekte Ana gözü var. 1 Ana gözlü petek silkelenerek alındı ve 05 no'lu kovana aktarıldı. 1 Kara petek verildi. Kendini kurtarabilir. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-05-10,5,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,ana çıkmış,0,Ana çıkmış. Beslendi. Varroa,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-002,15,2025-05-14,5,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,"Polen var. Besleme yapılmadı. Balı var. Yavru görene kadar, bekleyelim.",uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-05-20,5,,,,,kek,1,,,,,0,0,0,0,0,,,,,,0,Kek verildi. Polen var. Besleme verroa.,uretim,,,,,,yüksek,
KOL-002,15,2025-05-24,5,,,,,1/1 şurup,1,,,,,0,0,0,0,0,,,,,,0,Beslendi. Ballı petekler var. Kabartıyor.,uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi"
KOL-002,15,2025-05-27,5,,,yavru yok,,,0,,,,,0,0,0,0,0,,,,,,0,Yavru yok. Polen. Bal.,uretim,,,,,,yüksek,
KOL-002,15,2025-06-02,5,,,,,1/1 şurup,1,timol,,,,0,0,0,0,0,,,,,,0,"1 Boş çıta alınıp ayrıca, bir kara petek verildi. Kapalı yavrular görüldü. 3 çıta dolu ve aktif. Beslendi. Varroa. Yavru çok güçlü görünmüyor. Takip etmeli.",uretim,,,,,,orta,"Besleme tipi genel ""besleme"" ifadesinden sezona göre türetildi | Varroa yöntemi genel ifadeden sezona göre türetildi"
KOL-002,15,2025-06-08,5,,,,,fondan,1,,,,,0,0,0,0,0,,,,,,0,Fondon verildi.,uretim,,,,,,yüksek,
KOL-002,15,2025-06-14,5,,,yavru var,,,0,timol,,,,0,0,0,0,0,,,,,,0,Yavru var. İyi görünüyor. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-06-19,5,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-06-26,5,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Petek kabartıyor. İyi görünüyor. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-07-05,6,,,,,,0,timol,,,,0,0,0,0,0,,,,,,0,Çoğalıyor. 1 Temel petek ilave. Varroa,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-07-10,7,,,kapalı yavru var,,,0,timol,,,,0,0,0,0,0,,,,,,0,1 Temel petek. Kapalı yavru var. İyi görünüyor. Varroa.,uretim,,,,,,orta,Varroa yöntemi genel ifadeden sezona göre türetildi
KOL-002,15,2025-07-24,7,,,yavru var,,,0,,,,,0,0,0,0,0,,,,,,0,"Kalabalık. Kabartıyor. Yavru var, İyi",uretim,,,,,,yüksek,
